"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_AJC1";"Mat_NJB1";"Mat_NJB2";"Mat_NJC1";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"2309";"Banskobystrickı";"Luèenec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 9";"Lovinobaòa";"98554";;;;;;;;;;;"10,2964";"28,8352";;;"92,13";"93,574";"72,2022";;;;;;;;;;;;;"69,909";;;;
"2310";"Banskobystrickı";"Luèenec";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı - maïarskı ";"Stredná odborná škola";"SPŠ stavebná O.W.";"B. Nìmcovej 1";"Luèenec";"98415";"17,75";;;;"61,4634";;;;;;;;;;"52,9703";"95,5446";"30,5344";;;;;;;;;;;;;"40,3189";;;;
"2311";"Banskobystrickı";"Luèenec";"Krajskı úrad, Okresnı úrad";"ZŠ pre iakov s naruš.komun.i.";"Slovenskı";"Špeciálna základná škola";"Zákl.škola pre  s NKS";"Dr.Herza 6";"Luèenec";"98401";;;;;;;;;;;"63,1579";"57,8947";;;;;;;;;;;;;;;;;;;;;;
"2312";"Banskobystrickı";"Luèenec";"Samosprávny kraj";"SOŠ technická";"Slovenskı";"Stredná odborná škola";"SOŠ technická";"Dukelskıch hrdinov 2";"Luèenec";"98401";"34,5";;;;"59,0244";"54,9223";;"17,7273";;;;;;;"96,5347";"67,3267";;;;;;;;;;;;;;"46,4692";;;;
"2313";"Banskobystrickı";"Luèenec";"Súkromník";"Základná škola";"Slovenskı";"Základná škola";"Súkromná základná škola";"Gemerská cesta 1";"Luèenec";"98401";;;;;;;;;;;;;;;"55,6679";"84,6931";"52,9242";;;;;;;;;;;;;"79,1567";;;;
"2314";"Banskobystrickı";"Luèenec";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkr.zákl.umel.škola";"Gemerská cesta 1";"Luèenec";"98401";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"23,0089";;;;
"2315";"Banskobystrickı";"Luèenec";"Súkromník";"Gymnázium";"Slovenskı";"Gymnázium";"Súkromné gymnázium";"Gemerská cesta 1";"Luèenec";"98401";"33,1658";;;;;"92,3469";;;"100";;"40,1869";"23,2143";;;"31,8182";"65,1515";"51,5152";;;;;;;;;;;;;"82,4561";;;;
"2316";"Banskobystrickı";"Luèenec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Halièská cesta 7";"Luèenec";"98403";;;;;;;;;;;"63,6505";"60,7955";;;"100";"96,6787";"30,1083";;;;;;;;;;;;;"28,414";;;;
"2317";"Banskobystrickı";"Luèenec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Halièská cesta 8";"Luèenec";"98403";;;;;;;;;;;"46,2559";"46,733";;;"90,2527";"96,6787";"49,3863";;;;;;;;;;;;;"12,3622";;;;
"2318";"Banskobystrickı";"Luèenec";"Krajskı úrad, Okresnı úrad";"Odborné uèilište internátne";"Slovenskı";"Špeciálna stredná škola";"Odborné uèilište int.";"Halièská cesta 80";"Luèenec";"98403";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"27,7778";;;;
